Found Location,LAT,LON
"10703 North Platt River, Austin, TX",30.1572639,-97.8167617
"10703 San Jose in, Del Valle, TX",30.147687,-97.66915
"10704 Quail Valley Dr, Travis, TX",30.5133308,-97.96490870000001
"10704 S Interstate 35 Frontage Rd, Austin, TX",30.146753,-97.7949586
"10705 Lambert Cir, Austin, TX",30.3817929,-97.7009204
"10705 San Jose Avenue in, Del Valle, TX",30.14675999999999,-97.66914399999999
"10706 Brodie Lane, Austin, TX",30.1747362,-97.8563683
"10706 Daryl Cove, Austin, TX",30.3789013,-97.69379529999999
"10706 N Mopac Expy, Austin, TX",30.3968628,-97.7336287
"10706 Plains Trail, Austin, TX",30.3802807,-97.69544929999999
"10706 Plains Trl, Austin, TX",30.3802807,-97.69544929999999
"10706 Windy, Austin, TX",30.3793014,-97.6946011
"10706 Windy Trail Circle, Austin, TX",30.3793014,-97.6946011
"10707 Ih35 North, Austin, TX",30.3714774,-97.67888529999999
"10707 Lake Creek, Austin, TX",30.454658,-97.80482099999999
"10707 Lake Creek Parkway, Austin, TX",30.454658,-97.80482099999999
"10707 Lake Creek Parkway, Travis, TX",30.4551016,-97.8041768
"10707 Lake Creek Pkwy #82, Austin, TX",30.454658,-97.80482099999999
"10707 Lake Creek Pkwy, Austin, TX",30.454658,-97.80482099999999
"10707 Lake Creek Pky, Austin, TX",30.454658,-97.80482099999999
"10707 Mcangus Road in, Del Valle, TX",30.1508081,-97.66629189999999
"10707 N Ih 35, Austin, TX",30.3714774,-97.67888529999999
"10708 Keystone Bend, Austin, TX",30.429923,-97.79824149999999
"10708 Onyx, Austin, TX",30.4484584,-97.8128534
"10708 Parkfield Dr, Austin, TX",30.3807135,-97.6983544
"10709 Arikara River Drive, Austin, TX",30.1548879,-97.81545539999999
"10709 Cow Creek Road, Travis, TX",30.551917,-98.045108
"10709 Lafayette Park Dr., Jonestown, TX",30.5007795,-97.9080262
"10709 Topperwein, Austin, TX",30.384615,-97.7061798
"1071 Clayton Lane, Austin, TX",30.3187966,-97.7034652
"1071 Clayton Ln 1601, Austin, TX",30.3187926,-97.70349809999999
"1071 Clayton Ln, Austin, TX",30.3187966,-97.7034652
"1071 Clayton Street, Austin, TX",30.3187966,-97.7034652
"1071 Springdale Rd, Austin, TX",30.2721148,-97.6908691
"10710 Beach Road, Leander, TX",30.490452,-97.91524199999999
"10710 Joseph Clayton Dr, Austin, TX",30.3712298,-97.67738489999999
"10710 Moore Rd, Austin, TX",30.129377,-97.680915
"10710 Moore Rd, Travis, TX",30.129377,-97.680915
"10710 Moore Road, Austin, TX",30.129377,-97.680915
"10710 Research Blvd #200, Austin, TX",30.3985657,-97.7482909
"10710 Research Blvd, Austin, TX",30.3987744,-97.7482926
"10710 Research Boulevard, Austin, TX",30.3987744,-97.7482926
"10710 W Lakeview Dr, Jonestown, TX",30.495534,-97.926998
"10711 Cassia Dr, Austin, TX",30.4198599,-97.7776244
"10711 Misting Falls Trail, Austin, TX",30.4060422,-97.75009469999999
"10711 Newmont, Austin, TX",30.378066,-97.69263699999999
"10712 Gaillardia Dr, Austin, TX",30.3146102,-97.8999285
"10712 Pratt Ln, Austin, TX",30.1722096,-97.8460174
"10712 Razil Court, Austin, TX",30.1596803,-97.8273408
"10712 Watchful Fox Dr, Austin, TX",30.155992,-97.81629439999999
"10712 Watchful Fox, Austin, TX",30.155992,-97.81629439999999
"10713 Decker Ln, Travis, TX",30.33114699999999,-97.60295479999999
"10713 Ranch Road 620 N, Austin, TX",30.4469538,-97.83084629999999
"10713 Watchful Fox Drive, Austin, TX",30.1555666,-97.81591209999999
"10713 Watchful Fox, Austin, TX",30.1555666,-97.81591209999999
"10714 Fm 1625, Austin, TX",30.1096172,-97.7222559
"10714 San Josa in, Del Valle, TX",30.148151,-97.66651399999999
"10714 San Jose Ave, Austin, TX",30.148151,-97.66651399999999
"10714 San Jose Ave, Travis, TX",30.148151,-97.66651399999999
"10714 San Jose Ave Lot R, Austin, TX",30.148151,-97.66651399999999
"10714 San Jose Avenue, Travis, TX",30.148151,-97.66651399999999
"10714 San Jose, Travis, TX",30.148151,-97.66651399999999
"10715 Mc Angus, Austin, TX",30.151459,-97.6653022
"10717 Fm 812 Rd, Austin, TX",30.1439775,-97.6720988
"10719 Doyle Overton Rd in, Del Valle, TX",30.0904308,-97.62713869999999
"10721 N Platt River Dr, Austin, TX",30.1560115,-97.8167193
"10721 Research Blvd, Austin, TX",30.3990103,-97.74486290000002
"10722 N Platt River Rd, Austin, TX",30.1560284,-97.8171866
"10724 Old Lockhart, Austin, TX",30.12069,-97.75886190000001
"10725 North Platt River Rd., Austin, TX",30.1556605,-97.8165918
"10725 Old Lockhart Highway, Austin, TX",30.127493,-97.751958
"10725 Old Lockhart Road, Austin, TX",30.127493,-97.751958
"10727 Old Lockhart Road, Travis, TX",30.1258024,-97.75306359999999
"10730 I 35, Austin, TX",30.145578,-97.7946879
"10739 Old Lockhart, Austin, TX",30.127023,-97.75020099999999
"10741 Old Lockhart Hwy, Travis, TX",30.126396,-97.750506
"10748 Marshitahs Way, Austin, TX",30.1583129,-97.82603429999999
"10755 Old Lockhart Road, Austin, TX",30.1238615,-97.7525579
"10760 Maha Cir, Austin, TX",30.11166769999999,-97.6956817
"10761 Maha Cir, Austin, TX",30.11166769999999,-97.6956817
"108 W 16Th, Austin, TX",30.2783249,-97.74010009999999
"108 W 45Th, Austin, TX",30.3091738,-97.72881269999999
"108 W Grady Drive, Austin, TX",30.3742249,-97.6856214
"10800 Burnet Rd, Austin, TX",30.394042,-97.721513
"10800 Evelyn Rd, Travis, TX",30.0765162,-97.693654
"10800 Joseph Clayton Dr, Austin, TX",30.3716996,-97.6770865
"10800 Lakeline Blvd, Austin, TX",30.4824757,-97.79357739999999
"10800 Lakeline Boulevard, Austin, TX",30.4824757,-97.79357739999999
"10800 Lakeline, Austin, TX",30.4824757,-97.79357739999999
"10800 Lakeline, Travis, TX",30.4824757,-97.79357739999999
"10800 Oak View Dr, Austin, TX",30.4178632,-97.7710561
"10800 Topperwein Dr, Austin, TX",30.3853607,-97.70643430000001
"10801  Manchaca Road, Austin, TX",30.162265,-97.8308385
"10801 Manchaca Rd, Austin, TX",30.162265,-97.8308385
"10801 Mickelson Drive, Austin, TX",30.1340646,-97.77420649999999
"10801 North Mopac, Austin, TX",30.39804479999999,-97.7302455
"10801 Old Manchaca, Austin, TX",30.1625936,-97.8287852
"10801 Old Manchaca Rd, Austin, TX",30.1625936,-97.8287852
"10801 Old Manchaca Road, Austin, TX",30.1625936,-97.8287852
